"customer_id","customer_name","total_amount_per_customer"
"165","Cindy Schnelling","1076"
"212","David Wiener","1079"
"223","Dennis Bolton","1081"
"365","Jeremy Farry","1082"
"682","Scot Wooten","1085"
"369","Jesus Ocampo","1092"
"764","Tony Molinari","1095"
"11","Alan Barnes","1114"
"202","Darrin Van Huff","1122"
"378","Jim Sink","1130"
"653","Ross DeVincentis","1137"
"126","Carl Weiss","1138"
"444","Kimberly Carter","1145"
"167","Claire Gute","1148"
"243","Duane Benoit","1156"
"377","Jim Radford","1157"
"29","Alyssa Tate","1172"
"218","Debra Catini","1175"
"82","Benjamin Patterson","1181"
"277","Evan Bailliet","1187"
"523","Michael Dominguez","1203"
"238","Dorothy Wardle","1205"
"151","Christina DeMoss","1206"
"341","Jack Lebron","1215"
"266","Erica Hernandez","1220"
"588","Patrick Jones","1220"
"578","Nora Pelletier","1229"
"524","Michael Grace","1241"
"256","Elpida Rittenbach","1245"
"396","Joni Wasserman","1245"
"763","Tony Chapman","1245"
"507","Matt Hagelstein","1253"
"299","Gene McClure","1255"
"711","Steve Carroll","1255"
"533","Michelle Ellison","1257"
"474","Liz Willingham","1259"
"125","Carl Ludwig","1262"
"242","Doug O'Connell","1267"
"720","Stuart Van","1271"
"597","Paul Stevenson","1278"
"122","Cari Sayre","1279"
"303","Georgia Rosenberg","1285"
"228","Denny Ordway","1298"
"317","Hallie Redmond","1299"
"175","Corey-Lock","1300"
"252","Eileen Kiefer","1302"
"504","Matt Collins","1304"
"702","Sibella Parks","1306"
"483","Magdelene Morse","1315"
"699","Shirley Jackson","1319"
"196","Dario Medina","1321"
"537","Michelle Tran","1321"
"675","Saphhira Shifley","1324"
"67","Barry Franz","1336"
"119","Bryan Mills","1338"
"680","Sarah Jordon","1341"
"512","Maureen Gnade","1342"
"470","Liz MacKendrick","1347"
"677","Sarah Bern","1348"
"298","Gene Hale","1362"
"234","Don Miller","1378"
"283","Frank Gastineau","1383"
"771","Troy Blackwell","1387"
"364","Jeremy Ellison","1388"
"187","Cyra Reiten","1397"
"561","Nathan Gelder","1397"
"314","Guy Armstrong","1400"
"595","Paul MacIntyre","1405"
"372","Jill Stevenson","1418"
"553","Nancy Lomonaco","1420"
"647","Roger Demir","1420"
"153","Christine Abelman","1423"
"404","Julia West","1428"
"538","Mick Brown","1429"
"747","Thomas Thornton","1429"
"732","Tamara Dahlen","1435"
"593","Paul Knutson","1441"
"624","Raymond Messe","1453"
"35","Andy Gerbode","1455"
"609","Philip Brown","1457"
"220","Delfina Latchford","1458"
"101","Bradley Nguyen","1460"
"619","Ralph Kennedy","1460"
"584","Parhena Norris","1467"
"453","Laurel Elliston","1469"
"736","Ted Butterfield","1470"
"145","Charlotte Melton","1475"
"793","Zuschuss Donatelli","1494"
"190","Dan Lawera","1504"
"386","John Grady","1507"
"40","Ann Blume","1515"
"434","Kelly Andreada","1520"
"83","Benjamin Venier","1522"
"115","Bruce Degenhardt","1527"
"137","Cathy Hwang","1537"
"108","Brian DeCherney","1539"
"486","Maria Bertelson","1547"
"498","Mark Van Huff","1561"
"580","Odella Nelson","1567"
"420","Karl Braun","1568"
"301","George Bell","1569"
"344","James Lanier","1571"
"541","Mike Caudle","1582"
"183","Cyma Kinney","1583"
"81","Benjamin Farhat","1586"
"13","Alan Haines","1588"
"181","Craig Reiter","1600"
"749","Tim Brockman","1603"
"513","Maurice Satty","1611"
"50","Annie Zypern","1624"
"48","Anne Pryor","1639"
"264","Erica Bern","1644"
"164","Cindy Chapman","1659"
"140","Chad McGuire","1662"
"363","Jennifer Patt","1669"
"121","Candace McMahon","1676"
"136","Cathy Armstrong","1679"
"427","Katrina Edelman","1686"
"519","Meg O'Connel","1686"
"662","Ryan Akin","1686"
"198","Darren Koutras","1687"
"77","Becky Pak","1698"
"408","Julie Prescott","1706"
"770","Tracy Zic","1707"
"226","Denny Blanton","1712"
"97","Brad Eason","1728"
"368","Jessica Myrick","1733"
"8","Adrian Hane","1736"
"545","Mike Vittorini","1736"
"778","Valerie Takahito","1736"
"80","Ben Wallace","1738"
"476","Logan Haushalter","1740"
"2","Aaron Hawkins","1744"
"549","Monica Federle","1759"
"201","Darrin Sayre","1762"
"139","Chad Cunningham","1771"
"359","Jennifer Braxton","1791"
"32","Andrew Allen","1792"
"350","Janet Molinari","1804"
"574","Noah Childs","1822"
"600","Pauline Johnson","1823"
"582","Pamela Coakley","1832"
"259","Emily Grady","1833"
"63","Ashley Jarboe","1839"
"591","Patrick Ryan","1841"
"185","Cynthia Delaney","1861"
"703","Skye Norling","1861"
"556","Nat Gilpin","1871"
"113","Brooke Gillingham","1873"
"709","Stephanie Phelps","1873"
"695","Shaun Chance","1875"
"468","Lisa Ryan","1880"
"697","Sheri Gordon","1885"
"305","Giulietta Dortch","1888"
"422","Katherine Ducich","1889"
"728","Susan Vittorini","1903"
"514","Max Engle","1908"
"356","Jay Fein","1912"
"351","Jas O'Carroll","1934"
"769","Tracy Poddar","1937"
"160","Christy Brittain","1949"
"466","Lisa DeCherney","1963"
"684","Scott Williamson","1966"
"576","Nona Balk","1974"
"592","Paul Gonzalez","1988"
"240","Doug Bickford","1989"
"320","Harold Pawlan","1991"
"781","Victoria Brennan","2006"
"227","Denny Joy","2012"
"572","Nicole Fjeld","2031"
"127","Carlos Daly","2035"
"58","Art Ferguson","2052"
"761","Tom Stivers","2054"
"475","Logan Currie","2060"
"646","Roger Barcio","2068"
"516","Max Ludwig","2071"
"774","Trudy Glocke","2074"
"639","Rob Haberlin","2086"
"469","Liz Carlisle","2096"
"708","Stefanie Holloman","2096"
"416","Karen Carlisle","2122"
"245","Duane Noonan","2139"
"171","Clay Rozendal","2149"
"385","John Dryer","2153"
"247","Ed Jacobs","2161"
"743","Theresa Swint","2162"
"326","Helen Abelman","2163"
"567","Neoma Murray","2163"
"656","Roy Phan","2169"
"429","Kean Nguyen","2171"
"193","Daniel Byrd","2172"
"692","Shahid Hopkins","2180"
"583","Pamela Stobb","2182"
"93","Bill Tyler","2188"
"306","Giulietta Weimer","2190"
"751","Toby Braunhardt","2198"
"251","Edward Nazzal","2200"
"413","Justin Ritter","2202"
"518","Maya Herman","2203"
"348","Janet Lee","2204"
"614","Phillip Flathmann","2207"
"206","Dave Poirier","2215"
"560","Nathan Cano","2219"
"539","Mick Crebagga","2220"
"309","Greg Guthrie","2222"
"27","Allen Rosenblatt","2235"
"454","Laurel Workman","2239"
"353","Jason Gross","2241"
"765","Tony Sayre","2243"
"440","Ken Dana","2245"
"491","Maribeth Yedwab","2255"
"411","Justin Hirsh","2257"
"506","Matt Connell","2258"
"414","Kalyca Meade","2261"
"94","Bobby Elias","2262"
"177","Craig Carreira","2271"
"289","Fred Harton","2273"
"345","Jamie Frazer","2280"
"446","Kristina Nunn","2280"
"459","Lena Hernandez","2298"
"526","Michael Kennedy","2302"
"148","Chris McAfee","2306"
"213","Dean Braden","2333"
"254","Elizabeth Moffitt","2340"
"648","Roland Fjeld","2342"
"511","Maureen Gastineau","2351"
"179","Craig Leslie","2354"
"33","Andrew Gjertsen","2356"
"340","Jack Garza","2358"
"569","Nick Radford","2368"
"360","Jennifer Ferguson","2371"
"172","Clytie Kelty","2372"
"186","Cynthia Voltz","2372"
"789","Xylona Preis","2375"
"208","David Flashing","2391"
"485","Marc Harrigan","2393"
"739","Thea Hendricks","2423"
"505","Matt Collister","2427"
"73","Bart Pistole","2442"
"532","Michelle Arnett","2453"
"302","George Zrebassa","2454"
"777","Valerie Mitchum","2454"
"106","Brendan Sweed","2455"
"280","Filia McAdams","2456"
"496","Mark Hamilton","2456"
"555","Nat Carroll","2461"
"86","Beth Paige","2472"
"142","Charles Crestani","2473"
"457","Lena Cacioppo","2477"
"528","Michael Nguyen","2477"
"570","Nick Zandusky","2487"
"590","Patrick O'Donnell","2494"
"31","Amy Hunt","2495"
"233","Don Jones","2502"
"402","Julia Barnett","2518"
"401","Joy Smith","2519"
"291","Fred McMath","2523"
"143","Charles McCrossin","2533"
"332","Herbert Flentye","2534"
"41","Ann Chong","2538"
"173","Corey Catlett","2541"
"216","Deanra Eno","2551"
"117","Bruce Stewart","2564"
"500","Mary Zewe","2565"
"253","Eleni McCrary","2567"
"87","Beth Thompson","2568"
"566","Neola Schneider","2576"
"712","Steve Chapman","2578"
"18","Alejandro Grove","2584"
"327","Helen Andreada","2586"
"710","Stephanie Ulpright","2596"
"688","Sean O'Donnell","2603"
"425","Katherine Nockton","2618"
"618","Ralph Arnett","2619"
"150","Christina Anderson","2649"
"205","Dave Kipp","2652"
"276","Eva Jacobs","2657"
"628","Richard Bierner","2663"
"573","Nicole Hansen","2673"
"286","Frank Olsen","2681"
"90","Bill Overfelt","2682"
"102","Bradley Talbott","2684"
"410","Justin Ellison","2698"
"357","Jay Kimmel","2710"
"492","Marina Lichtenstein","2723"
"389","John Lucas","2726"
"484","Marc Crier","2727"
"455","Lauren Leatherbury","2740"
"438","Ken Black","2745"
"536","Michelle Moray","2752"
"149","Chris Selesnick","2757"
"257","Emily Burns","2768"
"610","Philip Fox","2770"
"384","John Castell","2773"
"643","Robert Dilbeck","2787"
"773","Trudy Brown","2798"
"69","Barry Gonzalez","2799"
"293","Gary Hansen","2819"
"772","Troy Staebel","2820"
"152","Christina VanderZanden","2832"
"412","Justin MacKendrick","2834"
"197","Darren Budd","2840"
"462","Linda Southworth","2845"
"268","Erin Ashbrook","2846"
"178","Craig Carroll","2854"
"161","Chuck Clark","2869"
"336","Ionia McGrath","2872"
"598","Paul Van Hugh","2875"
"211","David Smith","2882"
"68","Barry Französisch","2889"
"520","Meg Tillman","2890"
"563","Neil Ducich","2894"
"182","Craig Yedwab","2900"
"638","Rob Dowd","2913"
"493","Maris LaWare","2922"
"696","Shaun Weien","2922"
"407","Julie Kriz","2933"
"75","Becky Castell","2934"
"473","Liz Thompson","2935"
"740","Thea Hudgings","2942"
"154","Christine Kargatis","2946"
"733","Tamara Manning","2955"
"575","Noel Staavos","2966"
"207","David Bremer","2974"
"281","Frank Atkinson","2984"
"534","Michelle Huthwaite","2986"
"464","Lindsay Shagiari","2989"
"129","Carlos Soltero","3038"
"184","Cynthia Arntzen","3040"
"3","Aaron Smayling","3051"
"676","Sara Luxemburg","3053"
"693","Shahid Shariari","3056"
"430","Kean Takahito","3058"
"753","Toby Gnade","3059"
"542","Mike Gockenbach","3062"
"273","Eugene Barchas","3073"
"296","Gary Mitchum","3078"
"274","Eugene Hildebrand","3084"
"587","Patrick Gardner","3088"
"423","Katherine Hughes","3102"
"706","Speros Goranitis","3126"
"713","Steve Nguyen","3128"
"735","Tanja Norvell","3129"
"659","Ruben Dartt","3134"
"517","Maxwell Schwartz","3146"
"415","Karen Bern","3152"
"146","Chloris Kastensmidt","3154"
"349","Janet Martin","3158"
"366","Jeremy Lonsdale","3175"
"219","Deirdre Greer","3195"
"112","Brian Thompson","3197"
"156","Christine Sundaresam","3201"
"497","Mark Packer","3207"
"19","Alejandro Savely","3215"
"627","Ricardo Sperren","3221"
"465","Lindsay Williams","3232"
"694","Sharelle Roach","3234"
"249","Edward Becker","3236"
"132","Carol Triggs","3241"
"463","Lindsay Castell","3247"
"330","Henry Goldwyn","3250"
"5","Adam Hart","3251"
"6","Adam Shillingsburg","3255"
"188","Damala Kotsonis","3256"
"342","Jack O'Briant","3257"
"194","Daniel Lacy","3274"
"641","Rob Williams","3280"
"107","Brian Dahlen","3288"
"111","Brian Stugart","3288"
"634","Rick Reed","3301"
"622","Randy Ferguson","3310"
"421","Katharine Harms","3313"
"224","Dennis Kane","3318"
"61","Arthur Prichep","3324"
"189","Dan Campbell","3336"
"730","Sylvia Foulston","3338"
"230","Dianna Vittorini","3343"
"241","Doug Jacobs","3357"
"782","Victoria Pisteka","3361"
"667","Sam Craven","3364"
"775","Trudy Schmidt","3368"
"671","Sandra Glassco","3406"
"664","Sally Hughsby","3408"
"282","Frank Carlisle","3419"
"679","Sarah Foster","3424"
"601","Pauline Webber","3454"
"258","Emily Ducich","3487"
"45","Anna Gayman","3489"
"645","Robert Waldorf","3495"
"267","Erica Smith","3511"
"232","Dionis Lloyd","3540"
"295","Gary McGarr","3583"
"744","Thomas Boland","3589"
"632","Rick Hansen","3622"
"668","Sam Zeldin","3628"
"674","Sanjit Jacobs","3630"
"367","Jeremy Pistek","3638"
"246","Ed Braxton","3643"
"159","Christopher Schild","3651"
"472","Liz Preis","3654"
"79","Ben Peterman","3676"
"334","Hunter Glantz","3690"
"683","Scott Cohen","3732"
"285","Frank Merwin","3737"
"405","Juliana Krohn","3748"
"374","Jim Karlsson","3762"
"489","Maribeth Dona","3766"
"509","Matthew Grinstein","3785"
"130","Carol Adams","3789"
"527","Michael Moore","3793"
"522","Michael Chen","3805"
"651","Rose O'Brian","3816"
"581","Olvera Toch","3819"
"49","Annie Thurman","3831"
"658","Ruben Ausman","3832"
"391","John Stevenson","3868"
"92","Bill Stewart","3888"
"288","Fred Chung","3890"
"435","Kelly Collister","3908"
"236","Dorothy Badders","3909"
"577","Nora Paige","3909"
"147","Chris Cortes","3914"
"441","Ken Heidel","3920"
"300","George Ashbrook","3922"
"615","Pierre Wener","3922"
"478","Luke Foster","3931"
"686","Sean Christensen","3980"
"530","Michael Paige","3984"
"180","Craig Molinari","3985"
"727","Susan Pistek","3990"
"287","Frank Preis","4047"
"311","Greg Matthias","4073"
"222","Denise Monton","4074"
"718","Stewart Visinsky","4106"
"608","Peter McVee","4115"
"552","Muhammed Yedwab","4151"
"650","Roland Schwarz","4160"
"294","Gary Hwang","4172"
"370","Jill Fjeld","4198"
"89","Bill Eplett","4205"
"768","Tracy Hopkins","4234"
"168","Claudia Bergmann","4247"
"284","Frank Hawley","4257"
"15","Alan Schoenberger","4262"
"752","Toby Carlisle","4266"
"631","Rick Duston","4272"
"192","Dana Kaydos","4283"
"723","Sung Pak","4283"
"503","Matt Abelman","4300"
"557","Natalie DeCherney","4329"
"715","Steven Roelle","4345"
"297","Gary Zandusky","4355"
"255","Ellis Ballard","4358"
"681","Scot Coram","4374"
"57","Arianne Irving","4376"
"100","Bradley Drucker","4410"
"428","Katrina Willman","4418"
"346","Jamie Kunitz","4427"
"494","Mark Cousins","4433"
"741","Theone Pippenger","4456"
"461","Linda Cazamias","4492"
"717","Stewart Carmichael","4494"
"53","Anthony Johnson","4501"
"60","Arthur Gainer","4511"
"55","Anthony Rawles","4523"
"203","Dave Brooks","4532"
"275","Eugene Moren","4589"
"669","Sample Company A","4626"
"431","Kean Thornton","4642"
"217","Deborah Brumfield","4655"
"271","Erin Smith","4657"
"452","Laurel Beltran","4705"
"630","Rick Bensley","4714"
"304","Giulietta Baptist","4717"
"766","Tracy Blumstein","4737"
"74","Bart Watters","4752"
"375","Jim Kriz","4762"
"721","Sue Ann Reed","4767"
"660","Russell Applegate","4794"
"214","Dean Katz","4802"
"14","Alan Hwang","4805"
"52","Anthony Jacobs","4868"
"381","Joe Kamberova","4868"
"325","Heather Kirkland","4877"
"611","Philisse Overcash","4893"
"447","Kunst Miller","4910"
"737","Ted Trevino","4916"
"337","Irene Maddox","4931"
"204","Dave Hallsten","4933"
"436","Kelly Lampkin","5019"
"339","Ivan Liston","5040"
"43","Anna Andreadi","5087"
"544","Mike Pelletier","5090"
"460","Lena Radford","5143"
"625","Resi Pölking","5155"
"652","Ross Baird","5224"
"714","Steven Cartwright","5226"
"321","Harold Ryan","5251"
"548","Mitch Willingham","5254"
"231","Dianna Wilson","5272"
"734","Tamara Willingham","5278"
"760","Tom Prescott","5329"
"547","Mitch Webber","5342"
"762","Tonja Turnell","5365"
"746","Thomas Seio","5370"
"62","Arthur Wiediger","5385"
"138","Cathy Prescott","5401"
"480","Luke Weiss","5422"
"707","Stefania Perrino","5443"
"791","Yoseph Carroll","5455"
"260","Emily Phan","5481"
"225","Dennis Pardue","5482"
"540","Mick Hernandez","5503"
"30","Amy Cox","5529"
"554","Naresj Patel","5532"
"729","Suzanne McNair","5563"
"21","Alex Avila","5565"
"424","Katherine Murray","5622"
"110","Brian Moss","5660"
"47","Anne McFarland","5665"
"166","Cindy Stewart","5691"
"88","Bill Donatelli","5721"
"155","Christine Phan","5889"
"78","Ben Ferrer","5909"
"433","Keith Herrera","5954"
"644","Robert Marley","5978"
"445","Kristen Hastings","5991"
"691","Shahid Collister","5994"
"312","Greg Maxwell","6051"
"134","Cassandra Brandow","6076"
"12","Alan Dominguez","6106"
"616","Quincy Jones","6111"
"698","Shirley Daniels","6121"
"783","Victoria Wilson","6135"
"788","William Brown","6159"
"640","Rob Lucas","6236"
"114","Brosina Hoffman","6256"
"515","Max Jones","6321"
"176","Corinna Mitchell","6340"
"200","Darrin Martin","6344"
"343","James Galang","6366"
"678","Sarah Brown","6411"
"776","Valerie Dominguez","6444"
"562","Nathan Mautz","6461"
"397","Joseph Airdo","6494"
"307","Grace Kelly","6498"
"191","Dan Reichenbach","6527"
"36","Andy Reiter","6609"
"790","Yana Sorensen","6722"
"382","Joel Eaton","6762"
"103","Brenda Bowman","6767"
"602","Penelope Sewall","6842"
"633","Rick Huthwaite","6980"
"290","Fred Hopkins","6989"
"215","Dean percer","7199"
"559","Natalie Webber","7233"
"596","Paul Prost","7254"
"635","Rick Wilson","7400"
"490","Maribeth Schnelling","7445"
"589","Patrick O'Brill","7475"
"392","Jonathan Doherty","7609"
"390","John Murray","7624"
"458","Lena Creighton","7662"
"4","Adam Bellavance","7708"
"347","Jane Waco","7722"
"373","Jim Epp","7757"
"46","Anna Häberlin","7889"
"579","Nora Preis","7904"
"398","Joseph Holt","7955"
"792","Zuschuss Carroll","8028"
"685","Sean Braxton","8057"
"432","Keith Dawkins","8184"
"323","Harry Marie","8236"
"568","Nick Crebassa","8240"
"417","Karen Daniels","8282"
"558","Natalie Fritzler","8321"
"195","Daniel Raglin","8352"
"604","Pete Kriz","8646"
"451","Laura Armstrong","8674"
"380","Joe Elijah","8696"
"409","Justin Deggeller","8829"
"158","Christopher Martinez","8953"
"607","Peter Fuller","9065"
"759","Tom Boeckenhauer","9134"
"328","Helen Wasserman","9299"
"308","Grant Thornton","9351"
"250","Edward Hooks","10313"
"418","Karen Ferguson","10606"
"487","Maria Etezadi","10665"
"170","Clay Ludtke","10881"
"133","Caroline Jumper","11165"
"690","Seth Vernon","11472"
"76","Becky Martin","11791"
"313","Greg Tran","11821"
"757","Todd Sumrall","11891"
"157","Christopher Conant","12128"
"673","Sanjit Engle","12209"
"335","Hunter Lopez","12875"
"91","Bill Shonely","13513"
"672","Sanjit Chand","14145"
"442","Ken Lonsdale","14175"
"7","Adrian Barton","14476"
"758","Tom Ashbrook","14596"
"623","Raymond Buch","15117"
"388","John Lee","16744"
"731","Tamara Chand","19050"
"687","Sean Miller","25042"
